😀	grinning face	1f600
🤌🏿	pinched fingers: dark skin tone	1f90c-1f3ff
🤏	pinching hand	1f90f
🤏🏻	pinching hand: light skin tone	1f90f-1f3fb
🤏🏼	pinching hand: medium-light skin tone	1f90f-1f3fc
🤏🏽	pinching hand: medium skin tone	1f90f-1f3fd
🤏🏾	pinching hand: medium-dark skin tone	1f90f-1f3fe
🤏🏿	pinching hand: dark skin tone	1f90f-1f3ff
✌️	victory hand	270c-fe0f
✌🏻	victory hand: light skin tone	270c-1f3fb
✌🏼	victory hand: medium-light skin tone	270c-1f3fc
✌🏽	victory hand: medium skin tone	270c-1f3fd
✌🏾	victory hand: medium-dark skin tone	270c-1f3fe
✌🏿	victory hand: dark skin tone	270c-1f3ff
🤞	crossed fingers	1f91e
🤞🏻	crossed fingers: light skin tone	1f91e-1f3fb
🤞🏼	crossed fingers: medium-light skin tone	1f91e-1f3fc
🤞🏽	crossed fingers: medium skin tone	1f91e-1f3fd
🤞🏾	crossed fingers: medium-dark skin tone	1f91e-1f3fe
🤞🏿	crossed fingers: dark skin tone	1f91e-1f3ff
🫰	hand with index finger and thumb crossed	1faf0
🫰🏻	hand with index finger and thumb crossed: light skin tone	1faf0-1f3fb
🫰🏼	hand with index finger and thumb crossed: medium-light skin tone	1faf0-1f3fc
🫰🏽	hand with index finger and thumb crossed: medium skin tone	1faf0-1f3fd
🫰🏾	hand with index finger and thumb crossed: medium-dark skin tone	1faf0-1f3fe
🫰🏿	hand with index finger and thumb crossed: dark skin tone	1faf0-1f3ff
🤟	love-you gesture	1f91f
🤟🏻	love-you gesture: light skin tone	1f91f-1f3fb
🤟🏼	love-you gesture: medium-light skin tone	1f91f-1f3fc
🤟🏽	love-you gesture: medium skin tone	1f91f-1f3fd
🤟🏾	love-you gesture: medium-dark skin tone	1f91f-1f3fe
🤟🏿	love-you gesture: dark skin tone	1f91f-1f3ff
🤘	sign of the horns	1f918
🤘🏻	sign of the horns: light skin tone	1f918-1f3fb
🤘🏼	sign of the horns: medium-light skin tone	1f918-1f3fc
🤘🏽	sign of the horns: medium skin tone	1f918-1f3fd
🤘🏾	sign of the horns: medium-dark skin tone	1f918-1f3fe
🤘🏿	sign of the horns: dark skin tone	1f918-1f3ff
🤙	call me hand	1f919
🤙🏻	call me hand: light skin tone	1f919-1f3fb
🤙🏼	call me hand: medium-light skin tone	1f919-1f3fc
🤙🏽	call me hand: medium skin tone	1f919-1f3fd
🤙🏾	call me hand: medium-dark skin tone	1f919-1f3fe
🤙🏿	call me hand: dark skin tone	1f919-1f3ff
👈	backhand index pointing left	1f448
👈🏻	backhand index pointing left: light skin tone	1f448-1f3fb
👈🏼	backhand index pointing left: medium-light skin tone	1f448-1f3fc
👈🏽	backhand index pointing left: medium skin tone	1f448-1f3fd
👈🏾	backhand index pointing left: medium-dark skin tone	1f448-1f3fe
👈🏿	backhand index pointing left: dark skin tone	1f448-1f3ff
👉	backhand index pointing right	1f449
👉🏻	backhand index pointing right: light skin tone	1f449-1f3fb
👉🏼	backhand index pointing right: medium-light skin tone	1f449-1f3fc
👉🏽	backhand index pointing right: medium skin tone	1f449-1f3fd
👉🏾	backhand index pointing right: medium-dark skin tone	1f449-1f3fe
👉🏿	backhand index pointing right: dark skin tone	1f449-1f3ff
👆	backhand index pointing up	1f446
👆🏻	backhand index pointing up: light skin tone	1f446-1f3fb
👆🏼	backhand index pointing up: medium-light skin tone	1f446-1f3fc
👆🏽	backhand index pointing up: medium skin tone	1f446-1f3fd
👆🏾	backhand index pointing up: medium-dark skin tone	1f446-1f3fe
👆🏿	backhand index pointing up: dark skin tone	1f446-1f3ff
🖕	middle finger	1f595
🖕🏻	middle finger: light skin tone	1f595-1f3fb
🖕🏼	middle finger: medium-light skin tone	1f595-1f3fc
🖕🏽	middle finger: medium skin tone	1f595-1f3fd
🖕🏾	middle finger: medium-dark skin tone	1f595-1f3fe
🖕🏿	middle finger: dark skin tone	1f595-1f3ff
👇	backhand index pointing down	1f447
👇🏻	backhand index pointing down: light skin tone	1f447-1f3fb
👇🏼	backhand index pointing down: medium-light skin tone	1f447-1f3fc
👇🏽	backhand index pointing down: medium skin tone	1f447-1f3fd
👇🏾	backhand index pointing down: medium-dark skin tone	1f447-1f3fe
👇🏿	backhand index pointing down: dark skin tone	1f447-1f3ff
☝️	index pointing up	261d-fe0f
☝🏻	index pointing up: light skin tone	261d-1f3fb
☝🏼	index pointing up: medium-light skin tone	261d-1f3fc
☝🏽	index pointing up: medium skin tone	261d-1f3fd
☝🏾	index pointing up: medium-dark skin tone	261d-1f3fe
☝🏿	index pointing up: dark skin tone	261d-1f3ff
🫵	index pointing at the viewer	1faf5
🫵🏻	index pointing at the viewer: light skin tone	1faf5-1f3fb
🫵🏼	index pointing at the viewer: medium-light skin tone	1faf5-1f3fc
🫵🏽	index pointing at the viewer: medium skin tone	1faf5-1f3fd
🫵🏾	index pointing at the viewer: medium-dark skin tone	1faf5-1f3fe
🫵🏿	index pointing at the viewer: dark skin tone	1faf5-1f3ff
👍	thumbs up	1f44d
👍🏻	thumbs up: light skin tone	1f44d-1f3fb
👍🏼	thumbs up: medium-light skin tone	1f44d-1f3fc
👍🏽	thumbs up: medium skin tone	1f44d-1f3fd
👍🏾	thumbs up: medium-dark skin tone	1f44d-1f3fe
👍🏿	thumbs up: dark skin tone	1f44d-1f3ff
👎	thumbs down	1f44e
👎🏻	thumbs down: light skin tone	1f44e-1f3fb
👎🏼	thumbs down: medium-light skin tone	1f44e-1f3fc
👎🏽	thumbs down: medium skin tone	1f44e-1f3fd
👎🏾	thumbs down: medium-dark skin tone	1f44e-1f3fe
👎🏿	thumbs down: dark skin tone	1f44e-1f3ff
✊	raised fist	270a
✊🏻	raised fist: light skin tone	270a-1f3fb
✊🏼	raised fist: medium-light skin tone	270a-1f3fc
✊🏽	raised fist: medium skin tone	270a-1f3fd
✊🏾	raised fist: medium-dark skin tone	270a-1f3fe
✊🏿	raised fist: dark skin tone	270a-1f3ff
👊	oncoming fist	1f44a
👊🏻	oncoming fist: light skin tone	1f44a-1f3fb
👊🏼	oncoming fist: medium-light skin tone	1f44a-1f3fc
👊🏽	oncoming fist: medium skin tone	1f44a-1f3fd
👊🏾	oncoming fist: medium-dark skin tone	1f44a-1f3fe
👊🏿	oncoming fist: dark skin tone	1f44a-1f3ff
🤛	left-facing fist	1f91b
🤛🏻	left-facing fist: light skin tone	1f91b-1f3fb
🤛🏼	left-facing fist: medium-light skin tone	1f91b-1f3fc
🤛🏽	left-facing fist: medium skin tone	1f91b-1f3fd
🤛🏾	left-facing fist: medium-dark skin tone	1f91b-1f3fe
🤛🏿	left-facing fist: dark skin tone	1f91b-1f3ff
🤜	right-facing fist	1f91c
🤜🏻	right-facing fist: light skin tone	1f91c-1f3fb
🤜🏼	right-facing fist: medium-light skin tone	1f91c-1f3fc
🤜🏽	right-facing fist: medium skin tone	1f91c-1f3fd
🤜🏾	right-facing fist: medium-dark skin tone	1f91c-1f3fe
🤜🏿	right-facing fist: dark skin tone	1f91c-1f3ff
👏	clapping hands	1f44f
👏🏻	clapping hands: light skin tone	1f44f-1f3fb
👏🏼	clapping hands: medium-light skin tone	1f44f-1f3fc
👏🏽	clapping hands: medium skin tone	1f44f-1f3fd
👏🏾	clapping hands: medium-dark skin tone	1f44f-1f3fe
👏🏿	clapping hands: dark skin tone	1f44f-1f3ff
🙌	raising hands	1f64c
🙌🏻	raising hands: light skin tone	1f64c-1f3fb
🙌🏼	raising hands: medium-light skin tone	1f64c-1f3fc
🙌🏽	raising hands: medium skin tone	1f64c-1f3fd
🙌🏾	raising hands: medium-dark skin tone	1f64c-1f3fe
🙌🏿	raising hands: dark skin tone	1f64c-1f3ff
🫶	heart hands	1faf6
🫶🏻	heart hands: light skin tone	1faf6-1f3fb
🫶🏼	heart hands: medium-light skin tone	1faf6-1f3fc
🫶🏽	heart hands: medium skin tone	1faf6-1f3fd
🫶🏾	heart hands: medium-dark skin tone	1faf6-1f3fe
🫶🏿	heart hands: dark skin tone	1faf6-1f3ff
👐	open hands	1f450
👐🏻	open hands: light skin tone	1f450-1f3fb
👐🏼	open hands: medium-light skin tone	1f450-1f3fc
👐🏽	open hands: medium skin tone	1f450-1f3fd
👐🏾	open hands: medium-dark skin tone	1f450-1f3fe
👐🏿	open hands: dark skin tone	1f450-1f3ff
🤲	palms up together	1f932
🤲🏻	palms up together: light skin tone	1f932-1f3fb
🤲🏼	palms up together: medium-light skin tone	1f932-1f3fc
🤲🏽	palms up together: medium skin tone	1f932-1f3fd
🤲🏾	palms up together: medium-dark skin tone	1f932-1f3fe
🤲🏿	palms up together: dark skin tone	1f932-1f3ff
🤝	handshake	1f91d
🤝🏻	handshake: light skin tone	1f91d-1f3fb
🤝🏼	handshake: medium-light skin tone	1f91d-1f3fc
🤝🏽	handshake: medium skin tone	1f91d-1f3fd
🤝🏾	handshake: medium-dark skin tone	1f91d-1f3fe
🤝🏿	handshake: dark skin tone	1f91d-1f3ff
🫱🏻‍🫲🏼	handshake: light skin tone, medium-light skin tone	1faf1-1f3fb-200d-1faf2-1f3fc
🫱🏻‍🫲🏽	handshake: light skin tone, medium skin tone	1faf1-1f3fb-200d-1faf2-1f3fd
🫱🏻‍🫲🏾	handshake: light skin tone, medium-dark skin tone	1faf1-1f3fb-200d-1faf2-1f3fe
🫱🏻‍🫲🏿	handshake: light skin tone, dark skin tone	1faf1-1f3fb-200d-1faf2-1f3ff
🫱🏼‍🫲🏻	handshake: medium-light skin tone, light skin tone	1faf1-1f3fc-200d-1faf2-1f3fb
🫱🏼‍🫲🏽	handshake: medium-light skin tone, medium skin tone	1faf1-1f3fc-200d-1faf2-1f3fd
🫱🏼‍🫲🏾	handshake: medium-light skin tone, medium-dark skin tone	1faf1-1f3fc-200d-1faf2-1f3fe
🫱🏼‍🫲🏿	handshake: medium-light skin tone, dark skin tone	1faf1-1f3fc-200d-1faf2-1f3ff
🫱🏽‍🫲🏻	handshake: medium skin tone, light skin tone	1faf1-1f3fd-200d-1faf2-1f3fb
🫱🏽‍🫲🏼	handshake: medium skin tone, medium-light skin tone	1faf1-1f3fd-200d-1faf2-1f3fc
🫱🏽‍🫲🏾	handshake: medium skin tone, medium-dark skin tone	1faf1-1f3fd-200d-1faf2-1f3fe
🫱🏽‍🫲🏿	handshake: medium skin tone, dark skin tone	1faf1-1f3fd-200d-1faf2-1f3ff
🫱🏾‍🫲🏻	handshake: medium-dark skin tone, light skin tone	1faf1-1f3fe-200d-1faf2-1f3fb
🫱🏾‍🫲🏼	handshake: medium-dark skin tone, medium-light skin tone	1faf1-1f3fe-200d-1faf2-1f3fc
🫱🏾‍🫲🏽	handshake: medium-dark skin tone, medium skin tone	1faf1-1f3fe-200d-1faf2-1f3fd
🫱🏾‍🫲🏿	handshake: medium-dark skin tone, dark skin tone	1faf1-1f3fe-200d-1faf2-1f3ff
🫱🏿‍🫲🏻	handshake: dark skin tone, light skin tone	1faf1-1f3ff-200d-1faf2-1f3fb
🫱🏿‍🫲🏼	handshake: dark skin tone, medium-light skin tone	1faf1-1f3ff-200d-1faf2-1f3fc
🫱🏿‍🫲🏽	handshake: dark skin tone, medium skin tone	1faf1-1f3ff-200d-1faf2-1f3fd
🫱🏿‍🫲🏾	handshake: dark skin tone, medium-dark skin tone	1faf1-1f3ff-200d-1faf2-1f3fe
🙏	folded hands	1f64f
🙏🏻	folded hands: light skin tone	1f64f-1f3fb
🙏🏼	folded hands: medium-light skin tone	1f64f-1f3fc
🙏🏽	folded hands: medium skin tone	1f64f-1f3fd
🙏🏾	folded hands: medium-dark skin tone	1f64f-1f3fe
🙏🏿	folded hands: dark skin tone	1f64f-1f3ff
✍️	writing hand	270d-fe0f
✍🏻	writing hand: light skin tone	270d-1f3fb
✍🏼	writing hand: medium-light skin tone	270d-1f3fc
✍🏽	writing hand: medium skin tone	270d-1f3fd
✍🏾	writing hand: medium-dark skin tone	270d-1f3fe
✍🏿	writing hand: dark skin tone	270d-1f3ff
💅	nail polish	1f485
💅🏻	nail polish: light skin tone	1f485-1f3fb
💅🏼	nail polish: medium-light skin tone	1f485-1f3fc
💅🏽	nail polish: medium skin tone	1f485-1f3fd
💅🏾	nail polish: medium-dark skin tone	1f485-1f3fe
💅🏿	nail polish: dark skin tone	1f485-1f3ff
🤳	selfie	1f933
🤳🏻	selfie: light skin tone	1f933-1f3fb
🤳🏼	selfie: medium-light skin tone	1f933-1f3fc
🤳🏽	selfie: medium skin tone	1f933-1f3fd
🤳🏾	selfie: medium-dark skin tone	1f933-1f3fe
🤳🏿	selfie: dark skin tone	1f933-1f3ff
💪	flexed biceps	1f4aa
💪🏻	flexed biceps: light skin tone	1f4aa-1f3fb
💪🏼	flexed biceps: medium-light skin tone	1f4aa-1f3fc
💪🏽	flexed biceps: medium skin tone	1f4aa-1f3fd
💪🏾	flexed biceps: medium-dark skin tone	1f4aa-1f3fe
💪🏿	flexed biceps: dark skin tone	1f4aa-1f3ff
🦾	mechanical arm	1f9be
🦿	mechanical leg	1f9bf
🦵	leg	1f9b5
🦵🏻	leg: light skin tone	1f9b5-1f3fb
🦵🏼	leg: medium-light skin tone	1f9b5-1f3fc
🦵🏽	leg: medium skin tone	1f9b5-1f3fd
🦵🏾	leg: medium-dark skin tone	1f9b5-1f3fe
🦵🏿	leg: dark skin tone	1f9b5-1f3ff
🦶	foot	1f9b6
🦶🏻	foot: light skin tone	1f9b6-1f3fb
🦶🏼	foot: medium-light skin tone	1f9b6-1f3fc
🦶🏽	foot: medium skin tone	1f9b6-1f3fd
🦶🏾	foot: medium-dark skin tone	1f9b6-1f3fe
🦶🏿	foot: dark skin tone	1f9b6-1f3ff
👂	ear	1f442
👂🏻	ear: light skin tone	1f442-1f3fb
👂🏼	ear: medium-light skin tone	1f442-1f3fc
👂🏽	ear: medium skin tone	1f442-1f3fd
👂🏾	ear: medium-dark skin tone	1f442-1f3fe
👂🏿	ear: dark skin tone	1f442-1f3ff
🦻	ear with hearing aid	1f9bb
🦻🏻	ear with hearing aid: light skin tone	1f9bb-1f3fb
🦻🏼	ear with hearing aid: medium-light skin tone	1f9bb-1f3fc
🦻🏽	ear with hearing aid: medium skin tone	1f9bb-1f3fd
🦻🏾	ear with hearing aid: medium-dark skin tone	1f9bb-1f3fe
🦻🏿	ear with hearing aid: dark skin tone	1f9bb-1f3ff
👃	nose	1f443
👃🏻	nose: light skin tone	1f443-1f3fb
👃🏼	nose: medium-light skin tone	1f443-1f3fc
👃🏽	nose: medium skin tone	1f443-1f3fd
👃🏾	nose: medium-dark skin tone	1f443-1f3fe
👃🏿	nose: dark skin tone	1f443-1f3ff
🧠	brain	1f9e0
🫀	anatomical heart	1fac0
🫁	lungs	1fac1
🦷	tooth	1f9b7
🦴	bone	1f9b4
👀	eyes	1f440
👁️	eye	1f441-fe0f
👅	tongue	1f445
👄	mouth	1f444
🫦	biting lip	1fae6
👶	baby	1f476
👶🏻	baby: light skin tone	1f476-1f3fb
👶🏼	baby: medium-light skin tone	1f476-1f3fc
👶🏽	baby: medium skin tone	1f476-1f3fd
👶🏾	baby: medium-dark skin tone	1f476-1f3fe
👶🏿	baby: dark skin tone	1f476-1f3ff
🧒	child	1f9d2
🧒🏻	child: light skin tone	1f9d2-1f3fb
🧒🏼	child: medium-light skin tone	1f9d2-1f3fc
🧒🏽	child: medium skin tone	1f9d2-1f3fd
🧒🏾	child: medium-dark skin tone	1f9d2-1f3fe
🧒🏿	child: dark skin tone	1f9d2-1f3ff
👦	boy	1f466
👦🏻	boy: light skin tone	1f466-1f3fb
👦🏼	boy: medium-light skin tone	1f466-1f3fc
👦🏽	boy: medium skin tone	1f466-1f3fd
👦🏾	boy: medium-dark skin tone	1f466-1f3fe
👦🏿	boy: dark skin tone	1f466-1f3ff
👧	girl	1f467
👧🏻	girl: light skin tone	1f467-1f3fb
👧🏼	girl: medium-light skin tone	1f467-1f3fc
👧🏽	girl: medium skin tone	1f467-1f3fd
👧🏾	girl: medium-dark skin tone	1f467-1f3fe
👧🏿	girl: dark skin tone	1f467-1f3ff
🧑	person	1f9d1
🧑🏻	person: light skin tone	1f9d1-1f3fb
🧑🏼	person: medium-light skin tone	1f9d1-1f3fc
🧑🏽	person: medium skin tone	1f9d1-1f3fd
🧑🏾	person: medium-dark skin tone	1f9d1-1f3fe
🧑🏿	person: dark skin tone	1f9d1-1f3ff
👱	person: blond hair	1f471
👱🏻	person: light skin tone, blond hair	1f471-1f3fb
👱🏼	person: medium-light skin tone, blond hair	1f471-1f3fc
👱🏽	person: medium skin tone, blond hair	1f471-1f3fd
👱🏾	person: medium-dark skin tone, blond hair	1f471-1f3fe
👱🏿	person: dark skin tone, blond hair	1f471-1f3ff
👨	man	1f468
👨🏻	man: light skin tone	1f468-1f3fb
👨🏼	man: medium-light skin tone	1f468-1f3fc
👨🏽	man: medium skin tone	1f468-1f3fd
👨🏾	man: medium-dark skin tone	1f468-1f3fe
👨🏿	man: dark skin tone	1f468-1f3ff
🧔	person: beard	1f9d4
🧔🏻	person: light skin tone, beard	1f9d4-1f3fb
🧔🏼	person: medium-light skin tone, beard	1f9d4-1f3fc
🧔🏽	person: medium skin tone, beard	1f9d4-1f3fd
🧔🏾	person: medium-dark skin tone, beard	1f9d4-1f3fe
🧔🏿	person: dark skin tone, beard	1f9d4-1f3ff
🧔‍♂️	man: beard	1f9d4-200d-2642-fe0f
🧔🏻‍♂️	man: light skin tone, beard	1f9d4-1f3fb-200d-2642-fe0f
🧔🏼‍♂️	man: medium-light skin tone, beard	1f9d4-1f3fc-200d-2642-fe0f
🧔🏽‍♂️	man: medium skin tone, beard	1f9d4-1f3fd-200d-2642-fe0f
🧔🏾‍♂️	man: medium-dark skin tone, beard	1f9d4-1f3fe-200d-2642-fe0f
🧔🏿‍♂️	man: dark skin tone, beard	1f9d4-1f3ff-200d-2642-fe0f
🧔‍♀️	woman: beard	1f9d4-200d-2640-fe0f
